rank,hacker,score,time_taken,country,school,avatar
1,Velosphere_SX4,265.0,23328.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
2,ByteKings_SX4,192.27,20079.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
3,TeamGlory_SX4,182.5,21343.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
4,CodeNova_SX4,175.68,19445.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
5,ENIGMA_sx4,168.87,30437.0,Sri Lanka,,https://hrcdn.net/s3_pub/hr-avatars/02877f62-ee74-4b42-a4c8-71b41c1a5928/150x150.png
6,Cargo_SX4,158.18,21090.0,Sri Lanka,,https://hrcdn.net/s3_pub/hr-avatars/f5c2a522-0d74-4d2b-9400-b18db6892000/150x150.png
7,CodeMaster_SX4,132.18,23279.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
8,KeMora_SX4,124.09,17551.0,,,https://hrcdn.net/s3_pub/hr-avatars/9e53c9eb-feab-427a-b020-3e916969d789/150x150.png
9,ByteForce_SX4,105.0,15526.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
10,Pixelites_SX4,100.68,12285.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
11,Adagard_SX4,99.0,9715.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
12,CodeNex_SX4,92.5,10026.0,Sri Lanka,,https://hrcdn.net/s3_pub/hr-avatars/36622e0d-6ae9-42aa-b0af-1f80b67679ca/150x150.png
12,SynapZ_SX4,92.5,13331.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
14,Crucio_SX4,43.64,14197.0,,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
15,CodeCrafters_SX4,30.0,1656.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
15,BroCodes_SX4,30.0,3577.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
17,Prometheus_SX4,24.0,6585.0,Sri Lanka,,https://d1ce3iv5vajdy.cloudfront.net/hackerrank/assets/gravatar.jpg
